"File","Line","Method","Key","Len"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\espnow\component_catalog_handlers.cpp","349","putUInt","BATTCOMM","8"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","373","getUChar","soc_high","8"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","383","getUChar","led_mode","8"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","510","getUShort","charge_w","8"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","883","getUShort","freq_khz","8"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","885","getUShort","sofar_id","8"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","1048","getBool","pwm_ctrl","8"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","1049","getUShort","pwm_hold","8"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\system_settings.cpp","153","getUInt","BATTTYPE","8"
"C:\Users\GrahamWillsher\ESP32Projects\ESP32common\espnow_common_utils\channel_manager.cpp","189","putUChar","channel","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESP32common\espnow_common_utils\channel_manager.cpp","205","isKey","channel","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESP32common\espnow_common_utils\channel_manager.cpp","211","getUChar","channel","7"
"C:\Users\GrahamWillsher\ESP32Projects\espnowreceiver_2\src\espnow\battery_settings_cache.cpp","17","getUInt","version","7"
"C:\Users\GrahamWillsher\ESP32Projects\espnowreceiver_2\src\espnow\battery_settings_cache.cpp","41","putUInt","version","7"
